PERKEMBANGAN MAHASISWA AKTIF FAKULTAS VOKASI PER PERIODE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAHUN MASUK;PERIODE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTAL JUMLAH LULUSAN;;;
;2014_1;2014_2;2015_1;2015_2;2016_1;2016_2;LULUS;2017_1;2017_2;LULUS;2018_1;2018_2;LULUS;2019_1;2019_2;LULUS;2020_1;2020_2;LULUS;2021_1;2021_2;LULUS;2022_1;2022_2;LULUS;2023_1;2023_2;LULUS;2024_1;2024_2;LULUS;2025_1;2025_2;LULUS;;;;
2014;18;13;12;10;9;9;0;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;9;;;
2015;;;62;58;55;55;0;51;49;37;9;7;3;;;;;;;;;;;;;;;;;;;;;;40;;;
2016;;;;;83;81;0;79;79;0;67;64;28;5;5;3;2;0;0;;;;;;;;;;;;;;;;31;;;
2017;;;;;;;;36;35;0;33;31;1;25;24;22;2;2;0;;;;;;;;;;;;;;;;23;;;
2018;;;;;;;;;;;52;50;0;46;46;1;45;41;39;;;;;;;;;;;;;;;;40;;;
2019;;;;;;;;;;;;;;38;36;0;35;33;0;33;32;27;0;2;1;0;1;1;;;;;;;29;;;
2020;;;;;;;;;;;;;;;;;55;45;0;40;39;0;37;34;27;2;7;4;1;1;1;;;;32;;;
2021;;;;;;;;;;;;;;;;;;;;46;43;0;41;39;0;39;37;27;2;6;5;;;;32;;;
2022;;;;;;;;;;;;;;;;;;;;;;;37;29;0;28;27;0;28;25;18;1;1;;18;;; 
2023;;;;;;;;;;;;;;;;;;;;;;;;;;53;49;0;47;42;0;2;1;;;;;
2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;40;0;6;6;;;;;
2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;;;;;;
TOTAL;18;13;74;68;147;145;0;175;172;46;161;152;32;114;111;26;139;121;39;119;114;27;115;104;28;122;121;32;121;114;24;150;;;254;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keterangan :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mahasiswa BARU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mahasiswa AKTIF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mahasiswa LULUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
